Decision,Label
ECLI_EL_COS_2010_0104N14.04E7108.html,1
2498_2023.html,1
95658.pdf,0
2585_2023.html,0
570.html,1
2797.html,1
55127.pdf,0
1140_2023.html,1
2715.html,1
789.html,1
588.html,1
5696.html,1
ECLI_EL_COS_2010_0104N8.09ED144.html,1
45864.pdf,1
2237.html,1
584.html,1
82269.pdf,0
592.html,1
2310_2015.html,1
576.html,1
1056.html,1
599.html,1
839_2023.html,1
ECLI_EL_COS_2010_0104N18.06ED1825.html,1
104180.pdf,0
ECLI_EL_COS_2010_0104N13.05ED1402.html,1
595.html,1
3567_2023.html,1
101954.pdf,0
49019.pdf,0
582.html,1
115920.pdf,0
ECLI_EL_COS_2010_0104N17.08ED967.html,1
799_2023.html,1
52152.pdf,1
4147_2015.html,1
574.html,1
1138_2023.html,1
1499_2015.html,1
2530.html,1
109732.pdf,0
ECLI_EL_COS_2010_0104N19.08ED306.html,1
597.html,1
578.html,1
ECLI_EL_COS_2010_0104N21.06ED731.html,1
7590.html,1
ECLI_EL_COS_2010_0104N11.08ED1602.html,1
ECLI_EL_COS_2010_0104N15.05ED1419.html,1
ECLI_EL_COS_2010_0104N12.09ED782.html,1
50153.pdf,0
ECLI_EL_COS_2010_0104N20.08ED315.html,1
4364_2015.html,1
1265.html,1
3797_2023.html,1
2193.html,1
1139_2023.html,1
ECLI_EL_COS_2010_0104N9.09ED243.html,1
116513.pdf,1
572.html,1
1053.html,1
2628.html,1
184_2024.html,1
ECLI_EL_COS_2010_0104N22.06ED685.html,1
748.html,1
2794.html,1
ECLI_EL_COS_2010_0104N26.05ED502.html,1
ECLI_EL_COS_2010_0104N10.09ED461.html,1
97040.pdf,0
4065_2023.html,1
93144.pdf,0
590.html,1
601.html,1
586.html,1
5460.html,1
