Decision,Label
1375.html,1
3348.html,1
8857.html,1
4177.html,0
1725.html,0
3718.html,1
710.html,1
5766.html,1
2109.html,1
5623.html,1
4931.html,1
8011.html,1
5273.html,1
1230.html,1
9600.html,1
1660.html,1
9250.html,1
7167.html,0
2365.html,1
7537.html,1
8338.html,1
9483.html,1
9179.html,1
1549.html,0
6326.html,1
6263.html,1
9196.html,1
2220.html,1
5731.html,1
8103.html,1
747.html,1
1288.html,1
4120.html,0
8800.html,1
1637.html,1
4435.html,1
6408.html,1
1267.html,1
8945.html,1
6058.html,1
8416.html,1
8046.html,1
7649.html,1
5674.html,1
7999.html,1
6721.html,1
8695.html,1
7130.html,1
5418.html,0
7075.html,1
4209.html,1
7976.html,1
3466.html,1
3309.html,1
4136.html,1
3759.html,1
751.html,1
8115.html,1
2518.html,1
6808.html,1
4835.html,1
5727.html,1
5377.html,1
8050.html,1
8953.html,1
1271.html,1
4589.html,1
4423.html,1
1621.html,1
7126.html,1
8683.html,1
7825.html,1
1508.html,1
3535.html,1
9568.html,1
6388.html,1
3470.html,0
6222.html,1
7063.html,1
3889.html,1
3923.html,0
5320.html,0
4862.html,1
5770.html,1
8142.html,1
706.html,1
1733.html,1
4161.html,1
1699.html,1
1363.html,1
9246.html,1
1676.html,1
5265.html,1
4927.html,1
7608.html,0
6330.html,1
9495.html,1
2723.html,0
2373.html,1
8284.html,1
1949.html,1
2236.html,1
4618.html,1
7937.html,1
3630.html,1
6432.html,1
6598.html,1
6062.html,1
2021.html,1
7223.html,0
8586.html,1
8093.html,1
6824.html,1
7736.html,0
2534.html,1
9682.html,1
3775.html,1
1748.html,0
9378.html,0
3325.html,1
5422.html,1
8640.html,1
5588.html,1
4233.html,1
5971.html,1
9051.html,1
9544.html,1
4376.html,1
1524.html,1
4726.html,1
8355.html,1
1877.html,1
842.html,0
8705.html,1
2308.html,1
6936.html,1
5249.html,1
7274.html,1
6035.html,1
3237.html,1
8928.html,1
3667.html,1
3372.html,1
680.html,1
9285.html,1
3688.html,1
6170.html,1
3722.html,1
2099.html,1
7761.html,1
1436.html,1
4634.html,0
5926.html,1
9456.html,1
6259.html,1
8247.html,1
1965.html,1
5160.html,1
8752.html,0
815.html,1
1820.html,1
1089.html,1
5863.html,1
546.html,1
9143.html,1
1573.html,1
9513.html,1
3671.html,1
6473.html,1
3221.html,1
6920.html,1
8528.html,1
7777.html,0
4858.html,1
8178.html,1
1709.html,1
3734.html,1
6166.html,1
9293.html,0
696.html,1
1359.html,1
3364.html,1
1973.html,1
8251.html,1
9440.html,1
5930.html,1
4622.html,1
1420.html,1
9010.html,0
9505.html,1
1565.html,1
9155.html,1
550.html,1
5875.html,1
7848.html,1
2719.html,1
803.html,1
2349.html,1
8744.html,1
7665.html,0
5658.html,0
6074.html,1
8969.html,1
3276.html,1
4419.html,1
6424.html,1
3333.html,1
3763.html,1
3299.html,1
7720.html,1
6832.html,1
8085.html,1
9047.html,1
5967.html,0
6218.html,1
4225.html,1
7059.html,1
3919.html,1
5434.html,1
854.html,1
1861.html,1
4730.html,1
1532.html,1
4360.html,1
1498.html,1
5988.html,0
1162.html,1
9552.html,1
1545.html,1
9175.html,0
570.html,1
1816.html,1
8334.html,0
823.html,1
7491.html,1
2369.html,1
3981.html,1
5156.html,0
1953.html,1
1050.html,1
9460.html,1
4602.html,1
1400.html,1
9030.html,1
2105.html,1
2555.html,1
3714.html,1
1729.html,1
6146.html,1
1683.html,1
3344.html,1
1379.html,1
4481.html,1
1396.html,1
3201.html,1
4897.html,1
7242.html,1
6900.html,1
5101.html,0
8699.html,1
8363.html,1
1512.html,1
4340.html,1
6687.html,1
1142.html,1
9572.html,1
6392.html,1
9067.html,1
4205.html,1
3893.html,1
2781.html,1
7079.html,1
5044.html,1
3939.html,1
5414.html,1
3313.html,1
6111.html,1
1284.html,1
6541.html,1
6812.html,1
5697.html,1
7215.html,1
2017.html,0
6054.html,1
1791.html,1
8949.html,1
4593.html,1
6404.html,0
9564.html,1
6691.html,1
1154.html,1
4356.html,1
3539.html,1
1504.html,1
7829.html,1
1857.html,1
862.html,1
8725.html,1
5117.html,0
2797.html,0
3885.html,1
4213.html,0
9071.html,1
6384.html,1
5681.html,1
4839.html,1
6804.html,1
7716.html,1
2514.html,1
1292.html,1
2847.html,0
9358.html,1
6107.html,1
3305.html,1
6412.html,1
4585.html,1
1787.html,1
2001.html,1
7203.html,1
7653.html,1
5140.html,1
3997.html,1
8288.html,1
8772.html,0
7487.html,1
8322.html,1
1800.html,1
566.html,1
9499.html,1
9163.html,1
1553.html,0
1103.html,0
9026.html,1
4614.html,1
1046.html,1
1945.html,1
3352.html,1
6150.html,1
1695.html,1
3702.html,1
2543.html,1
2113.html,1
6916.html,1
7604.html,1
5269.html,1
4881.html,1
3217.html,0
6202.html,1
5584.html,1
7043.html,1
3903.html,1
5091.html,1
2754.html,1
8359.html,1
6717.html,1
7805.html,1
1528.html,1
6347.html,0
1482.html,1
4680.html,1
5992.html,1
9548.html,0
5642.html,1
8420.html,1
3796.html,1
8973.html,1
6594.html,1
1251.html,1
1601.html,1
3329.html,1
4116.html,1
9374.html,1
1744.html,1
3779.html,1
771.html,1
6828.html,0
5707.html,1
7690.html,0
7444.html,1
5183.html,0
1969.html,1
6255.html,1
4638.html,1
1085.html,1
6740.html,1
7852.html,1
819.html,1
7501.html,1
2353.html,1
1986.html,1
9266.html,1
1656.html,1
6469.html,1
8924.html,1
9636.html,0
1206.html,1
6039.html,1
6890.html,0
7278.html,1
5245.html,1
4907.html,1
8532.html,1
2095.html,1
8162.html,1
1713.html,1
9289.html,0
8861.html,1
1343.html,1
1990.html,0
8748.html,1
2345.html,0
2715.html,1
7844.html,1
5879.html,1
1093.html,1
9159.html,0
1569.html,1
9509.html,1
5603.html,1
4911.html,1
5253.html,1
6886.html,0
8932.html,1
9270.html,1
3368.html,1
1355.html,1
8877.html,1
3692.html,1
4157.html,1
3738.html,1
1705.html,1
8174.html,1
4854.html,0
5316.html,1
5438.html,1
3915.html,1
7055.html,1
5592.html,1
4229.html,1
6214.html,1
1181.html,1
5984.html,1
6351.html,1
1494.html,1
6701.html,1
5087.html,1
2742.html,1
858.html,1
1617.html,0
6428.html,1
1247.html,1
8965.html,1
6078.html,1
8436.html,0
5654.html,1
7669.html,1
8089.html,1
5341.html,1
7686.html,1
5711.html,1
4803.html,1
767.html,1
3295.html,1
1752.html,1
9362.html,0
4100.html,1
9226.html,1
4414.html,1
789.html,1
9676.html,0
6583.html,1
3781.html,1
